,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
title,,,,,,,,,,,
Top Songs of 2019: Australia,0.676,0.6265555555555555,5.395061728395062,-6.175098765432098,0.5802469135802469,0.09464197530864198,0.23397333333333334,0.0097957387654321,0.1674,0.46524691358024695,116.72854320987655
Top Songs of 2019: New Zealand,0.6876533333333333,0.59604,5.2,-6.5263599999999995,0.5866666666666667,0.10474133333333334,0.23833986666666665,0.009816660133333334,0.17634266666666668,0.44060000000000005,116.71925333333333
Top Songs of 2019: USA,0.7382361111111111,0.5599166666666666,5.277777777777778,-6.726888888888889,0.4583333333333333,0.16694305555555555,0.21484375,0.007274504166666668,0.16952777777777778,0.4435,125.25305555555555
Top Songs of 2020: Australia,0.6929759036144578,0.601,5.759036144578313,-6.179240963855421,0.5662650602409639,0.08335060240963856,0.26352963855421685,0.003779298795180723,0.16719036144578311,0.49647710843373494,111.07236144578313
Top Songs of 2020: New Zealand,0.6994470588235294,0.5658588235294117,5.470588235294118,-6.640905882352941,0.5058823529411764,0.07982117647058823,0.3156555294117647,0.012256073764705883,0.1584164705882353,0.5027729411764706,112.04269411764707
Top Songs of 2020: USA,0.7182463768115942,0.5716521739130436,5.7101449275362315,-6.502724637681159,0.4492753623188406,0.17954782608695652,0.24180420289855073,0.011451452608695652,0.16845072463768118,0.4491217391304348,118.15907246376811
Top Songs of 2021: Australia,0.6808533333333333,0.6435066666666667,4.986666666666666,-6.276400000000001,0.64,0.088952,0.24171013333333335,0.006433898800000001,0.1586,0.49942933333333334,117.69904
Top Songs of 2021: New Zealand,0.684064935064935,0.598909090909091,4.987012987012987,-6.711064935064934,0.6363636363636364,0.09176883116883117,0.27545844155844157,0.0031100433766233764,0.1625090909090909,0.542287012987013,118.6468961038961
Top Songs of 2021: USA,0.6838356164383562,0.6056301369863013,4.589041095890411,-6.61258904109589,0.547945205479452,0.1655767123287671,0.2524865753424657,0.0008177734246575342,0.17305616438356164,0.4435465753424658,124.79780821917808
Top Songs of 2022: Australia,0.6629135802469136,0.6748024691358024,4.938271604938271,-5.764111111111111,0.6666666666666666,0.07862469135802469,0.207261012345679,0.004240107407407407,0.14402716049382716,0.5210864197530864,122.38323456790123
Top Songs of 2022: New Zealand,0.6599390243902439,0.6204146341463415,5.304878048780488,-6.709841463414634,0.6341463414634146,0.0845890243902439,0.2573901463414634,0.006396410731707318,0.13772560975609757,0.5392682926829269,120.15357317073172
Top Songs of 2022: USA,0.6853333333333333,0.5898333333333333,5.243589743589744,-6.4472564102564105,0.6025641025641025,0.14625000000000002,0.2321720641025641,0.0007003866666666666,0.1640474358974359,0.4206910256410256,120.93320512820515
